['Jaquelyn', 'Abbi', 'Lucila', 'Verina', 'Lauraine']
['Vi', 'Ruthi', 'Helaine', 'Damara', 'Querida']
['Marita', 'Tallulah', 'Ruthie', 'Cicely', 'Othilia']
['Ame', 'Alanna', 'Kathy', 'Kalina', 'Roseline']
['Marsha', 'Laverne', 'Marin', 'Ashleigh', 'Dorothea']
['Vernice', 'Ulrika', 'Beret', 'Kerri', 'Barb']
['Ninetta', 'Natka', 'Eryn', 'Carlen', 'Catharina']
['Aprilette', 'Bibby', 'Loria', 'Felicity', 'Lissy']
['Ara', 'Cloris', 'Lotte', 'Dallas', 'Edythe']
['Alexine', 'Luisa', 'Connie', 'Tiffy', 'Perry']
