['231']
['97', '98', '240', '241', '45', '46', '47', '48', '185', '186', '181', '182', '64', '65', '108', '109', '34', '35', '328', '329', '139', '140', '143', '144', '183', '184', '135', '136', '175', '176', '303', '304', '410', '411', '248', '249', '129', '130', '190', '191', '213', '214']
['204', '205', '70', '71', '206', '207', '313', '314', '19', '20', '326', '327', '320', '321', '9', '10', '91', '92', '179', '180', '194', '195', '177', '178', '376', '377', '173', '174', '418', '419', '280', '281', '116', '117', '383', '384', '101', '102', '324', '325', '372', '373']
['55', '56', '221', '222', '15', '16', '1', '2', '30', '31', '364', '365', '301', '302', '127', '128', '387', '388', '223', '224', '288', '289', '38', '39', '355', '356', '200', '201', '196', '197', '148', '149', '271', '272', '82', '83', '250', '251', '110', '111', '269', '270']
['99', '100', '395', '396', '154', '155', '309', '310', '26', '27', '169', '170', '414', '415', '284', '285', '244', '245', '292', '293', '114', '115', '49', '50', '368', '369', '297', '298', '290', '291', '263', '264', '385', '386', '68', '69', '51', '52', '362', '363', '192', '193']
['345', '346', '416', '417', '162', '163', '351', '352', '171', '172', '87', '88', '282', '283', '103', '104', '238', '239', '400', '401', '13', '14', '145', '146', '276', '277', '152', '153', '78', '79', '339', '340', '259', '260', '160', '161', '274', '275', '112', '113', '360', '361']
['402', '403', '316', '317', '337', '338', '11', '12', '341', '342', '391', '392', '164', '165', '295', '296', '59', '60', '286', '287', '267', '268', '318', '319', '3', '4', '358', '359', '118', '119', '219', '220', '74', '75', '61', '62', '334', '335', '332', '333', '133', '134']
['24', '25', '406', '407', '389', '390', '211', '212', '202', '203', '299', '300', '85', '86', '198', '199', '122', '123', '311', '312', '261', '262', '236', '237', '255', '256', '158', '159', '253', '254', '374', '375', '397', '398', '76', '77', '95', '96', '322', '323', '381', '382']
['106', '107', '242', '243', '40', '41', '225', '226', '227', '228', '404', '405', '234', '235', '349', '350', '232', '233', '124', '125', '66', '67', '7', '8', '307', '308', '141', '142', '17', '18', '215', '216', '412', '413', '89', '90', '408', '409', '32', '33', '53', '54']
['217', '218', '370', '371', '43', '44', '72', '73', '330', '331', '137', '138', '366', '367', '229', '230', '57', '58', '265', '266', '379', '380', '80', '81', '393', '394', '28', '29', '150', '151', '131', '132', '208', '209', '257', '258', '5', '6', '353', '354', '343', '344']
['168', '147', '105', '294', '21', '84', '273', '336', '210', '357', '42', '63', '315', '126', '252', '378', '189', '0', '399', '246', '247', '187', '188', '156', '157', '120', '121', '305', '306', '36', '37', '22', '23', '93', '94', '166', '167', '278', '279', '347', '348']
